t, t_system, base_utc_sec, base_utc_nano, base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_llh_0,base_llh_1,base_llh_2,base_status, base_sats, base_ane_0,base_ane_1,base_ane_2,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status, sats, utc_sec, utc_nano, ane1_0,ane1_1,ane1_2,ane2_0,ane2_1,ane2_2,idx1, idx2, 
0.76,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78647232055664,1.4441068172454834,-2.6969897747039795,0.23165768384933472,0.48221540451049805,-9.698419570922852,-0.004391556140035391,-0.0011071781627833843,-0.0016553187742829323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.781,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.7857666015625,1.4415746927261353,-2.69968843460083,0.2355966418981552,0.4679487645626068,-9.738576889038086,0.0008672989206388593,0.0008356655016541481,-0.0008209692314267159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.801,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.785316467285156,1.4419975280761719,-2.6995761394500732,0.2643308639526367,0.45710673928260803,-9.725568771362305,8.239049930125475e-05,0.0006827153265476227,-0.0011015189811587334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.822,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.7835807800293,1.444507122039795,-2.6987433433532715,0.2468564808368683,0.4515060782432556,-9.72777271270752,0.000531950150616467,0.0016227480955421925,-9.553320705890656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.842,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78378677368164,1.444983959197998,-2.69716215133667,0.25105130672454834,0.46186453104019165,-9.75337028503418,0.0015590457478538156,0.00014769402332603931,0.000722997821867466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.862,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78327941894531,1.4446104764938354,-2.6962475776672363,0.23925188183784485,0.45604395866394043,-9.735211372375488,0.002129283733665943,-0.000544204143807292,-0.0015946105122566223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.882,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78303527832031,1.4442822933197021,-2.695518970489502,0.2688729465007782,0.4563332200050354,-9.68765640258789,0.0007826821529306471,-0.00040211272425949574,-0.0010008523240685463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.903,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78071975708008,1.4448250532150269,-2.696852445602417,0.27712029218673706,0.4477611184120178,-9.726134300231934,5.5131386034190655e-05,0.0006063146283850074,-0.0006430791690945625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.923,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78071975708008,1.4448250532150269,-2.696852445602417,0.27712029218673706,0.4477611184120178,-9.726134300231934,5.5131386034190655e-05,0.0006063146283850074,-0.0006430791690945625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.943,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.77875900268555,1.4439697265625,-2.698286294937134,0.24257296323776245,0.4511004686355591,-9.765974044799805,-0.0007178375963121653,0.0005357307381927967,-0.0009828852489590645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
